idMeasure;dtDate;nmActivePower;nmAmbientTemp ;nmControllerHubTemp;nmControllerTopTemp;nmFrequency;nmGeneratorSpeed;nmRotorSpeed;nmWindSpeed; nmPressure;nmNacelleDir;nmNacelleTemp;nmProduciblePower;nmProduciblePowerVestas;idDevice
123;01/10/21 20:30;-10,53630257;21,32558823;31,00005722;34,11238098;50,01580048;69,1964798;0,616397202;6,003510475;246,8621063;151,3999939;31,00005722;709;0;157
124;01/10/21 20:40;691,7977905;21,11351585;31,0000515;34,00005722;50,00676727;936,6991577;8,316809654;6,137732983;247,3461609;141,7655182;31,0000515;709;718,6193237;157
125;01/10/21 20:50;478,9931946;21,00003433;31,38708305;34,00005722;50,00662994;831,3848877;7,374422073;5,485818386;246,713028;144,7555695;31,0000515;537;480,277771;157
126;01/10/21 21:00;312,7054443;21,00003433;32,18980789;34,00005722;50,03142929;731,9456177;6,491467953;4,90679884;245,573761;148;31,19993973;395;312,6071777;157
127;01/10/21 21:10;229,5686798;21,00003433;32,89914703;34,00005722;49,94382095;700,8459473;6,211743832;4,651124477;246,9291077;157,5635681;31,78979683;277;228,8890228;157
128;01/10/21 21:20;327,5970154;21,00003433;33,08975983;34,19996643;49,98130798;740,8234863;6,579617977;5,034554958;246,9958954;160,8000031;32,00005341;395;327,6898193;157
129;01/10/21 21:30;261,6196289;21,00003433;33,59983444;34,88975906;50,00268173;729,2376099;6,470449924;4,735024452;247,3297729;161,8220825;32,00005341;277;263,016571;157
130;01/10/21 21:40;92,58390808;21,00003433;34,00005722;35,00005722;49,98954391;700,1851196;6,2000103;3,946722746;246,0191803;170,9017487;32,00005341;179;93,4034729;157
131;01/10/21 21:50;153,3946533;21,00003433;34,00005722;35,00005722;50,01687622;700,135376;6,202485561;4,494191647;246,9817047;158,0637817;32,00005341;277;152,93573;157
132;01/10/21 22:00;121,0665054;21,00003433;34,19999313;35,00005722;50,01205063;700,2297363;6,2000103;3,991639376;246,0650024;139,3999939;32,00005341;179;121,6953506;157
133;01/10/21 22:10;176,6035767;21,00003433;34,789814;34,81016541;49,95527649;700,3101196;6,2000103;4,357562542;247,0643768;139,3999939;32,00005341;277;175,1753387;157
134;01/10/21 22:20;240,5391998;21,00003433;35,00005722;34,00005722;49,99275589;700,3380127;6,2000103;4,610791206;245,3074036;139,3999939;32,00005341;277;240,2342224;157
135;01/10/21 22:30;277,0850525;21,00003433;35,00005722;34,00005722;50,00614548;708,9047241;6,286158562;4,884185791;245,7363129;137,1772156;32,00005341;395;277,1618958;157
136;01/10/21 22:40;364,7269287;21,00003433;35,00005722;34,00005722;49,98266602;763,5400391;6,779222012;5,058180332;246,4604797;124,7129288;32,00005341;395;364,6636658;157
137;01/10/21 22:50;314,70755;21,00003433;35,00005722;34,00005722;50,00189972;731,8820801;6,490992546;4,942838192;246,7119141;122,5999985;32,19993973;395;314,699707;157
138;01/10/21 23:00;274,5259399;21,00003433;35,09999466;33,51015091;50,00811386;708,1052856;6,278183937;4,76415062;246,3921661;122,5999985;32,4897995;395;274,3227539;157
139;01/10/21 23:10;353,3106079;21,00003433;35,38978958;33,00005341;49,98865128;754,630127;6,696088791;5,143119812;246,3956757;122,5999985;32,61008072;395;353,5864258;157
140;01/10/21 23:20;474,3669739;21,18983269;35,31013489;33,00005341;50,00779724;817,7310181;7,261544704;5,5213871;246,8332367;118,5097961;32,30040359;537;473,3959656;157
141;01/10/21 23:30;602,1577148;21,01018524;35,00005722;33,00005341;49,99784088;889,0021362;7,893184662;5,893248558;246,1374512;113,5;32,6000061;709;602,9584961;157
142;01/10/21 23:40;824,2595825;21,10002136;35,00005722;33,00005341;49,98960495;970,6725464;8,61649704;6,422843933;246,9051208;116,1730423;32,78981018;912;821,2132568;157
143;01/10/21 23:50;1181,276245;21,79999542;34,81013489;33,00005341;49,99614334;1096,252319;9,735093117;7,153292656;246,574234;123,5999985;32,41012192;1148;1179,729736;157
144;02/10/21 00:00;1433,854126;21,50000572;34,00005722;33,00005341;50,00357819;1171,230469;10,39898682;7,799370289;246,6630707;123,5999985;32,08985519;1725;1434,716064;157
145;02/10/21 00:10;841,9586182;21,00003433;34,68984604;33,00005341;50,00205231;990,3135376;8,790925026;6,447535038;246,3164978;115,3159866;33,00005341;912;843,0131226;157
146;02/10/21 00:20;907,1201782;21,59997749;35,00005722;33,00005341;50,01028061;1009,407288;8,966129303;6,542010307;246,7409668;118,3637772;33,00005341;912;906,736084;157
147;02/10/21 00:30;673,2897949;21,68980026;35,00005722;33,00005341;50,00508881;920,953186;8,171975136;5,886642456;246,8047791;126,3205719;33,00005341;709;672,5105591;157
148;02/10/21 00:40;564,1705933;21,71011925;35,09999466;33,00005341;50,00289154;870,3567505;7,727527618;5,601831436;246,4652557;122,3000031;33,00005341;537;565,5643311;157
149;02/10/21 00:50;507,6576233;21,58982658;35,68982315;33,00005341;50,01655579;841,7335815;7,474303246;5,465464115;245,8166656;122,3000031;33,00005341;537;507,3199463;157
150;02/10/21 01:00;637,3797607;21,6999855;35,21016693;33,00005341;50,0182457;904,7108765;8,032500267;5,873782158;246,6450806;122,3000031;33,00005341;709;637,3528442;157
151;02/10/21 01:10;523,1479492;22,00003624;35,48980331;33,00005341;49,98740387;850,6392212;7,547261238;5,489693642;246,3152771;127,8063049;33,00005341;537;521,5305176;157
152;02/10/21 01:20;418,4947815;21,12028885;35,60000992;33,00005341;49,99860764;793,2487183;7,045573235;5,316363811;247,0957947;158,7376862;33,00005341;537;418,1018372;157
153;02/10/21 01:30;1850,914185;20,50008392;35,31018448;33,00005341;49,99254608;1211,452759;10,80010605;9,852719307;245,7319794;154,2435913;32,89997864;2930;1842,855103;157
154;02/10/21 01:40;2994,798584;19,1203537;34,01015854;33,00005341;49,9909668;1515,772827;13,4684391;13,9100132;246,3791504;143,0749664;32,1101799;3000;2995,79834;157
155;02/10/21 01:50;1223,231445;18,18985558;34,28982544;33,00005341;50,01172256;1101,972656;9,780843735;7,179912567;246,579071;131,0999603;32,00005341;1148;1222,124268;157
156;02/10/21 02:00;1795,749512;18,81018639;34,51016998;33,00005341;50,00629807;1237,741455;10,99722672;8,104324341;245,6774292;127,2667618;32,00005341;1725;1787,719727;157
157;02/10/21 02:10;1673,525269;18,48978043;34,00005722;33,00005341;49,98070526;1222,502197;10,85678387;8,175178528;247,5497284;133,5248108;32,00005341;1725;1665,94519;157
158;02/10/21 02:20;1858,370361;18,11017227;34,00005722;33,00005341;49,98902512;1251,229492;11,10986519;8,479558945;246,4536438;119,8820496;31,61020851;2063;1848,660767;157
159;02/10/21 02:30;2390,181641;18,68979263;34,00005722;33,00005341;50,00418472;1378,947266;12,23706532;8,951418877;246,03508;100,7639694;31,38977814;2431;2394,625244;157
